src_ip,dst_ip,src_mac,dst_mac,protocol_name,src_port,dst_port,modbus_trans_id,modbus_func_code,up_pkt_count,down_pkt_count,up_payload_count,down_payload_count,duration,up_payload_mean,down_payload_mean,up_payload_min,down_payload_min,up_payload_max,down_payload_max,up_payload_std,down_payload_std,up_time_interval_mean,down_time_interval_mean,up_time_interval_min,down_time_interval_min,up_time_interval_max,down_time_interval_max,up_time_interval_std,down_time_interval_std
192.168.1.240,192.168.1.210,00:80:f4:0d:e6:50,00:0c:26:16:78:46,Modbus/TCP,502,49032,3577,1,0,1,0,33,0.000000,0,33.0,0,33,0,33,0,0.0,0,0,0,0,0,0,0,0
192.168.1.210,192.168.1.240,00:0c:26:16:78:46,00:80:f4:0d:e6:50,Modbus/TCP,49032,502,3578,3,1,0,32,0,0.000000,32.0,0,32,0,32,0,0.0,0,0,0,0,0,0,0,0,0
192.168.1.240,192.168.1.210,00:80:f4:0d:e6:50,00:0c:26:16:78:46,Modbus/TCP,502,49032,3578,3,0,1,0,131,0.000000,0,131.0,0,131,0,131,0,0.0,0,0,0,0,0,0,0,0
192.168.1.210,192.168.1.240,00:0c:26:16:78:46,00:80:f4:0d:e6:50,Modbus/TCP,49032,502,3579,1,1,0,32,0,0.000000,32.0,0,32,0,32,0,0.0,0,0,0,0,0,0,0,0,0
192.168.1.240,192.168.1.210,00:80:f4:0d:e6:50,00:0c:26:16:78:46,Modbus/TCP,502,49032,3579,1,0,1,0,33,0.000000,0,33.0,0,33,0,33,0,0.0,0,0,0,0,0,0,0,0
192.168.1.210,192.168.1.240,00:0c:26:16:78:46,00:80:f4:0d:e6:50,Modbus/TCP,49032,502,3580,3,1,0,32,0,0.000000,32.0,0,32,0,32,0,0.0,0,0,0,0,0,0,0,0,0
192.168.1.240,192.168.1.210,00:80:f4:0d:e6:50,00:0c:26:16:78:46,Modbus/TCP,502,49032,3580,3,0,1,0,131,0.000000,0,131.0,0,131,0,131,0,0.0,0,0,0,0,0,0,0,0
192.168.1.210,192.168.1.240,00:0c:26:16:78:46,00:80:f4:0d:e6:50,Modbus/TCP,49032,502,3581,1,1,0,32,0,0.000000,32.0,0,32,0,32,0,0.0,0,0,0,0,0,0,0,0,0
192.168.1.240,192.168.1.210,00:80:f4:0d:e6:50,00:0c:26:16:78:46,Modbus/TCP,502,49032,3581,1,0,1,0,33,0.000000,0,33.0,0,33,0,33,0,0.0,0,0,0,0,0,0,0,0
192.168.1.210,192.168.1.240,00:0c:26:16:78:46,00:80:f4:0d:e6:50,Modbus/TCP,49032,502,3582,3,1,0,32,0,0.000000,32.0,0,32,0,32,0,0.0,0,0,0,0,0,0,0,0,0
192.168.1.240,192.168.1.210,00:80:f4:0d:e6:50,00:0c:26:16:78:46,Modbus/TCP,502,49032,3582,3,0,1,0,131,0.000000,0,131.0,0,131,0,131,0,0.0,0,0,0,0,0,0,0,0
192.168.1.210,192.168.1.240,00:0c:26:16:78:46,00:80:f4:0d:e6:50,Modbus/TCP,49032,502,3583,1,1,0,32,0,0.000000,32.0,0,32,0,32,0,0.0,0,0,0,0,0,0,0,0,0
192.168.1.240,192.168.1.210,00:80:f4:0d:e6:50,00:0c:26:16:78:46,Modbus/TCP,502,49032,3583,1,0,1,0,33,0.000000,0,33.0,0,33,0,33,0,0.0,0,0,0,0,0,0,0,0
192.168.1.210,192.168.1.240,00:0c:26:16:78:46,00:80:f4:0d:e6:50,Modbus/TCP,49032,502,3584,3,1,0,32,0,0.000000,32.0,0,32,0,32,0,0.0,0,0,0,0,0,0,0,0,0
192.168.1.240,192.168.1.210,00:80:f4:0d:e6:50,00:0c:26:16:78:46,Modbus/TCP,502,49032,3584,3,0,1,0,131,0.000000,0,131.0,0,131,0,131,0,0.0,0,0,0,0,0,0,0,0
192.168.1.210,192.168.1.240,00:0c:26:16:78:46,00:80:f4:0d:e6:50,Modbus/TCP,49032,502,3585,1,1,0,32,0,0.000000,32.0,0,32,0,32,0,0.0,0,0,0,0,0,0,0,0,0
192.168.1.240,192.168.1.210,00:80:f4:0d:e6:50,00:0c:26:16:78:46,Modbus/TCP,502,49032,3585,1,0,1,0,33,0.000000,0,33.0,0,33,0,33,0,0.0,0,0,0,0,0,0,0,0
192.168.1.100,192.168.1.253,00:e8:4c:68:d3:c7,50:fa:84:98:2c:c3,DNS,49261,53,0,0,4,0,168,0,7.035759,42.0,0,42,0,42,0,0.0,0,2.345253,0,1.014198,0,4.009495,0,1.245314207279699618647502827,0
192.168.1.210,192.168.1.240,00:0c:26:16:78:46,00:80:f4:0d:e6:50,Modbus/TCP,49032,502,3586,3,1,0,32,0,0.000000,32.0,0,32,0,32,0,0.0,0,0,0,0,0,0,0,0,0
192.168.1.240,192.168.1.210,00:80:f4:0d:e6:50,00:0c:26:16:78:46,Modbus/TCP,502,49032,3586,3,0,1,0,131,0.000000,0,131.0,0,131,0,131,0,0.0,0,0,0,0,0,0,0,0
192.168.1.210,192.168.1.240,00:0c:26:16:78:46,00:80:f4:0d:e6:50,Modbus/TCP,49032,502,3587,1,1,0,32,0,0.000000,32.0,0,32,0,32,0,0.0,0,0,0,0,0,0,0,0,0
